"","created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"53","Fri Oct 20 09:34:35 +0000 2023","1.7153004709093E+18","VIDEO: Viral Rumah Panggung di Makassar Roboh saat Gelar Nikahan https://t.co/KoKttfoMpP","0","0","0","1","in","47596019","1.7153004709093E+18","liputan6dotcom","https://twitter.com/liputan6dotcom/status/1715300470909276346"
"54","Fri Oct 20 09:33:45 +0000 2023","1.7153002585223E+18","satu saran saya buat jepri nikol. kalo mau ke makassar jangan naik sriwijaya air. delay nya tidak main-main.","1","5","3","5","in","172790109","1.7153002585223E+18","SupirPete2","https://twitter.com/SupirPete2/status/1715300258522271960"
"55","Fri Oct 20 09:33:13 +0000 2023","1.7153001251182E+18","baeknya tetangga ku... na tau klo dari hari selasa mandi, BAB, BAK di pertamina ja kodong  #Makassar https://t.co/UYzIkN8e9U","0","0","0","2","in","1.3695844766579E+18","1.7153001251182E+18","susugulaaren_","https://twitter.com/susugulaaren_/status/1715300125118238963"
"56","Fri Oct 20 09:32:44 +0000 2023","1.7153000058071E+18","@cgaretsaftrmeal @jefrinichol @HlGHTHERAPY Mau beng dilihat nyalimu @jefrinichol , berani jako kah datang di Makassar? Kalo bukan kau nabikin cacat ananaka..","0","0","0","0","in","946270039","1.7146931893688E+18","ihsan_aris","https://twitter.com/ihsan_aris/status/1715300005807096081"
"57","Fri Oct 20 09:31:49 +0000 2023","1.7152997742437E+18","Bhabinkamtibmas Polsek Panakkukang Bagikan Air Bersih Bantu Warga Yang Alami Kekeringan di #Makassar https://t.co/RGsIWlvRGf","0","0","0","0","in","1.1600846177742E+18","1.7152997742437E+18","sekpanakkukang","https://twitter.com/sekpanakkukang/status/1715299774243745828"
"58","Fri Oct 20 09:31:49 +0000 2023","1.71529977356E+18","@fleurlvvn Makassar mendung tapi tetep aja panass 🙃","0","1","0","0","in","1.3727635005195E+18","1.7152984143664E+18","kiyewoni","https://twitter.com/kiyewoni/status/1715299773560000674"
"59","Fri Oct 20 09:31:47 +0000 2023","1.7152997659726E+18","@kondusivitas Mau beli coto makassar+ sirup markisa, ya, Pak?","0","0","0","0","in","2485381298","1.7152919214916E+18","sinok_Veei","https://twitter.com/sinok_Veei/status/1715299765972599062"
"60","Fri Oct 20 09:31:35 +0000 2023","1.7152997164042E+18","VIDEO: Viral Rumah Panggung di Makassar Roboh saat Gelar Nikahan https://t.co/KTi5QEXGns","0","0","0","0","in","47596019","1.7152997164042E+18","liputan6dotcom","https://twitter.com/liputan6dotcom/status/1715299716404236391"
"61","Fri Oct 20 09:31:26 +0000 2023","1.7152996762144E+18","New open makassar📌 Yuk yang minat booking bisa DM/WA:https://t.co/TNWXZC8315 Bo/pijat/vcs📍 #Bomakassar #availmakassar #makassarBO #expomakassar  #VCS #vcsbugil https://t.co/oCk8xHqZCl","0","0","0","1","in","1378931760","1.7152996762144E+18","availbomks","https://twitter.com/availbomks/status/1715299676214444312"
"62","Fri Oct 20 09:31:17 +0000 2023","1.7152996396527E+18","efek temperatur di makassar https://t.co/GxJj6lKsHb","0","0","0","0","in","1.5032656615517E+18","1.7152996396527E+18","Kamartamuu","https://twitter.com/Kamartamuu/status/1715299639652737106"
"63","Fri Oct 20 09:31:15 +0000 2023","1.7152996294437E+18","@Bg____CoklaT pdhl udh pake baju pling sopan abg🙈","0","1","1","0","in","2757352768","1.7152972445122E+18","Kunti_enak","https://twitter.com/Kunti_enak/status/1715299629443731825"
"64","Fri Oct 20 09:30:21 +0000 2023","1.7152994034337E+18","E = Ewako = makassar = jusuf kalla = golkar, fix join golkar.","0","0","0","0","in","1.4127504608937E+18","1.7152994034337E+18","yudaafriyandy","https://twitter.com/yudaafriyandy/status/1715299403433656677"
"65","Fri Oct 20 09:29:07 +0000 2023","1.7152990944016E+18","@cgaretsaftrmeal @jefrinichol @HlGHTHERAPY Makassar ini kau e","0","0","0","0","in","836760792","1.7146931893688E+18","fitrahputra3","https://twitter.com/fitrahputra3/status/1715299094401605903"
"66","Fri Oct 20 09:27:27 +0000 2023","1.7152986752984E+18","@jakesvarna @tanyakanrl Lah? Yaelah sans aja kali, cowo gue jg makassar. Justru itu biar dia tau klo suku itu gabisa diajak sok keras, krn mereka gaada takutnya ama siapapun.","0","1","0","0","in","1.110589789584E+18","1.7151848154762E+18","lilaccountz","https://twitter.com/lilaccountz/status/1715298675298353338"
"67","Fri Oct 20 09:27:24 +0000 2023","1.7152986616584E+18","makassar hot #gaymakassar https://t.co/4GtxcPRZGz","0","0","0","3","in","1.7033159608565E+18","1.7152986616584E+18","piiyonirr","https://twitter.com/piiyonirr/status/1715298661658415461"
"68","Fri Oct 20 09:27:17 +0000 2023","1.7152986338796E+18","Selama tinggal di Makassar, saya rasa baru kali ini kita dilanda banjir dan kekeringan terparah dalam 1 tahun yang sama.","0","0","0","0","in","280525904","1.7152986338796E+18","zulkifliramli_","https://twitter.com/zulkifliramli_/status/1715298633879638501"
"69","Fri Oct 20 09:26:52 +0000 2023","1.7152985284725E+18","@evamoa Ke Makassar bukannya cari konro malah cari penyakit. 🤌","0","1","0","0","in","1.6377089355192E+18","1.7152919214916E+18","kondusivitas","https://twitter.com/kondusivitas/status/1715298528472522789"
"70","Fri Oct 20 09:26:50 +0000 2023","1.7152985185655E+18","Bhabinkamtibmas Kelurahan Masale Polsek Panakkukang,  Bagikan Makanan ke Anak-anak Tahfidz Qur'an #makassar https://t.co/wHjR8NP0A2","0","0","0","0","in","1.1600846177742E+18","1.7152985185655E+18","sekpanakkukang","https://twitter.com/sekpanakkukang/status/1715298518565523658"
"71","Fri Oct 20 09:26:24 +0000 2023","1.715298412047E+18","@rarahaitani Wkwkwk belumpi itu anak2 SD na makassar yang rawanngang","0","0","0","0","in","1.4749839212553E+18","1.7152440011532E+18","plentfeef","https://twitter.com/plentfeef/status/1715298412047049120"
"72","Fri Oct 20 09:26:14 +0000 2023","1.7152983706199E+18","@jefrinichol @aswin_permadi18 @cgaretsaftrmeal @HlGHTHERAPY Kicep ya lu jep, ketar ketir kan lu 😆 ditunggu tuh di Makassar","0","0","0","0","in","4768730232","1.7146931893688E+18","Re8life","https://twitter.com/Re8life/status/1715298370619851238"
"73","Fri Oct 20 09:24:20 +0000 2023","1.715297890544E+18","LetsGöFollow  base › surabaya tele  › https://t.co/ddMfNLyZxr expo › 23-24 banjarmasin › 25-26 makassar  💖 @moccha_caramel  @m0cha_caramel  @mochaacaramell https://t.co/ezbFu97bAH","0","0","0","0","tl","1.5387574364208E+18","1.715297890544E+18","C0VNERemake","https://twitter.com/C0VNERemake/status/1715297890544009641"
"74","Fri Oct 20 09:23:14 +0000 2023","1.7152976123946E+18","@KyowSya @Otet243 @infoXwor_ Orang makassar bisa masak konro ka","0","0","0","0","in","1.295807459102E+18","1.7151941603142E+18","Kolangkalingcuk","https://twitter.com/Kolangkalingcuk/status/1715297612394598697"
"75","Fri Oct 20 09:23:01 +0000 2023","1.7152975605446E+18","Makassar masih panas terik","0","0","0","0","in","1.0310832113952E+18","1.7152975605446E+18","tz44441","https://twitter.com/tz44441/status/1715297560544592132"
"76","Fri Oct 20 09:22:59 +0000 2023","1.7152975494172E+18","@infoXwor_ Jdi itu sih abang jdi gak ke makassar?","0","0","0","0","in","1.3053770173831E+18","1.7152541761027E+18","zhrasabill","https://twitter.com/zhrasabill/status/1715297549417152756"
