"Unnamed: 0","created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","Kata","Tokenized Text"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","akun","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","palsu","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","yang","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","mengatasnamakan","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","akun","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","PLN","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","123","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","ya","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","Kak","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","Akun","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
